,City,City Id,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
0,Hermanus,3366880,0,ZA,1533021250,88,-34.42,19.24,36.06,3.96
1,Khatanga,2022572,20,RU,1533020959,98,71.98,102.47,49.02,8.21
2,Trincomalee,1226260,24,LK,1533021250,56,8.58,81.23,89.97,21.18
3,Capelinha,3467305,0,BR,1533020972,86,-17.69,-42.52,53.88,5.97
4,Mataura,6201424,8,NZ,1533020965,83,-46.19,168.86,48.3,11.68
5,Yellowknife,6185377,75,CA,1533016800,76,62.45,-114.38,53.6,5.82
6,Talnakh,1490256,92,RU,1533021105,96,69.49,88.39,43.98,10.0
7,Punta Arenas,3874787,40,CL,1533016800,86,-53.16,-70.91,37.4,13.87
8,Lebu,344979,24,ET,1533021252,89,8.96,38.73,58.33,3.29
9,Rikitea,4030556,8,PF,1533020961,95,-23.12,-134.97,75.61,17.05
10,Fairbanks,5861897,75,US,1533020280,56,64.84,-147.72,69.8,5.64
11,Lalmohan,1185251,100,BD,1533021252,100,22.34,90.74,81.78,14.03
12,Hobart,2163355,75,AU,1533016800,61,-42.88,147.33,50.0,8.05
13,Saint-Philippe,6138908,1,CA,1533018900,93,45.36,-73.48,69.8,3.36
14,Kapaa,5848280,75,US,1533016560,83,22.08,-159.32,82.4,14.99
15,Souillac,3026644,0,FR,1533018600,82,45.6,-0.6,69.8,7.65
16,Cabo San Lucas,3985710,8,MX,1533020911,100,22.89,-109.91,81.64,11.01
17,Chimbote,3698304,56,PE,1533021254,100,-9.08,-78.59,59.46,2.62
18,Yulara,6355222,90,AU,1533016800,17,-25.24,130.99,77.0,5.82
19,Milkovo,727030,75,BG,1533019800,65,41.53,24.68,80.6,3.36
20,Calama,3897347,0,CL,1533016800,17,-22.46,-68.93,35.6,18.34
21,Lima,3936456,0,PE,1533021055,89,-12.06,-77.04,51.09,1.83
22,Abu Samrah,172515,0,SY,1533021255,67,35.3,37.18,79.35,11.45
23,Coquimbo,3893629,20,CL,1533016800,70,-29.95,-71.34,44.6,5.82
24,Bluff,2175403,0,AU,1533020960,17,-23.58,149.07,76.02,5.19
25,Tiznit,2527089,92,MA,1533021255,97,29.7,-9.73,65.58,0.94
26,Bredasdorp,1015776,0,ZA,1533016800,87,-34.53,20.04,44.6,8.05
27,Jilib,56166,44,SO,1533021256,70,0.49,42.79,80.88,7.76
28,Fortuna,2517679,75,ES,1533018600,83,38.18,-1.13,78.8,3.36
29,Tezu,1254709,92,IN,1533021256,100,27.93,96.16,67.06,1.61
30,Shahr-e Babak,115781,0,IR,1533021257,17,30.12,55.12,86.64,7.87
31,Nan,1608452,75,TH,1533020400,66,18.78,100.78,84.2,9.17
32,Mutare,884979,32,MZ,1533021257,87,-18.97,32.67,52.98,2.39
33,Ushuaia,3833367,90,AR,1533016800,91,-54.81,-68.31,35.6,10.29
34,Biltine,244878,0,TD,1533021258,68,14.53,20.93,76.78,10.0
35,Churapcha,2025241,0,RU,1533021258,63,62.0,132.43,70.08,4.18
36,Smidovich,2016412,0,RU,1533021258,58,48.6,133.81,78.54,5.75
37,New Norfolk,2155415,75,AU,1533016800,61,-42.78,147.06,50.0,8.05
38,Chokurdakh,2126123,56,RU,1533021030,84,70.62,147.9,46.59,13.69
39,Albany,5106834,20,US,1533020040,87,42.65,-73.75,69.8,2.73
40,Barrow,3833859,8,AR,1533020959,82,-38.31,-60.23,34.66,8.77
41,Hithadhoo,1282256,20,MV,1533020970,100,-0.6,73.08,81.46,8.1
42,Yar-Sale,1486321,0,RU,1533021073,90,66.83,70.83,49.24,22.75
43,Antalaha,1071296,36,MG,1533021260,96,-14.9,50.28,71.7,5.3
44,Paramonga,3933024,64,PE,1533021260,100,-10.68,-77.82,58.24,9.1
45,Mar del Plata,3863379,20,AR,1533021009,83,-46.43,-67.52,39.3,16.93
46,Ust-Kuyga,2013921,20,RU,1533021260,53,70.0,135.55,62.38,9.78
47,Pevek,2122090,88,RU,1533021018,77,69.7,170.27,54.64,7.54
48,Buriti dos Lopes,3404713,0,BR,1533021261,79,-3.18,-41.87,77.23,12.24
49,Bilibino,2126682,92,RU,1533021262,88,68.06,166.44,60.72,3.4
50,Kalmunai,1242110,8,LK,1533021262,66,7.42,81.82,89.74,8.77
51,Avarua,4035715,20,CK,1533016800,73,-21.21,-159.78,69.8,4.7
52,Kloulklubed,7671223,90,PW,1533019860,83,7.04,134.26,82.4,4.7
53,Atuona,4020109,12,PF,1533020967,98,-9.8,-139.03,80.29,16.93
54,Tual,1623197,20,ID,1533021263,95,-5.67,132.75,80.61,15.03
55,Cidreira,3466165,92,BR,1533021263,93,-30.17,-50.22,51.45,2.73
56,Turukhansk,1488903,68,RU,1533021264,88,65.8,87.96,49.74,10.0
57,Vaini,1273574,88,IN,1533020978,100,15.34,74.49,73.36,8.43
58,Isangel,2136825,92,VU,1533021015,100,-19.55,169.27,72.78,10.45
59,Oxford,4081914,75,US,1533020400,94,33.61,-85.83,73.4,4.97
60,Lasa,146639,40,CY,1533019800,70,34.92,32.53,84.2,9.17
61,Cape Town,3369157,20,ZA,1533018600,81,-33.93,18.42,48.2,8.05
62,Kavieng,2094342,76,PG,1533021027,98,-2.57,150.8,85.56,9.22
63,Busselton,2075265,76,AU,1533020706,100,-33.64,115.35,61.21,18.5
64,Provideniya,4031574,90,RU,1533016800,87,64.42,-173.23,57.2,6.71
65,Yertsevo,467084,0,RU,1533021265,66,60.8,40.09,72.91,4.63
66,Zhanaozen,607610,80,KZ,1533021038,20,43.35,52.85,91.63,11.01
67,Lipno,3093268,0,PL,1533021266,87,52.85,19.18,74.76,4.41
68,Garissa,197745,0,KE,1533021266,69,-0.46,39.64,77.82,11.68
69,Upernavik,3418910,0,GL,1533020985,86,72.79,-56.15,42.04,4.97
70,Butterworth,1735076,75,MY,1533020400,70,5.4,100.37,86.0,4.7
71,Longyearbyen,2729907,75,NO,1533018000,76,78.22,15.63,50.0,5.82
72,Kahului,5847411,40,US,1533018000,78,20.89,-156.47,80.6,11.41
73,Medea,2488835,0,DZ,1533020400,60,36.27,2.77,75.2,4.7
74,Kungsbacka,2698729,0,SE,1533019800,47,57.49,12.08,77.0,6.93
75,Mackay,5921525,75,CA,1533019260,100,53.65,-115.58,55.4,4.7
76,Klaksvik,2618795,48,FO,1533019800,87,62.23,-6.59,53.6,6.93
77,Barra Patuca,3614835,56,HN,1533021268,90,15.8,-84.28,82.95,10.78
78,Terrak,3134658,0,NO,1533018000,73,65.09,12.37,73.4,14.99
79,Ribeira Grande,3372707,75,PT,1533020400,73,38.52,-28.7,69.8,4.07
80,Pisco,3932145,90,PE,1533020400,87,-13.71,-76.2,60.8,2.24
81,Katangli,2122783,88,RU,1533021269,85,51.71,143.23,60.13,2.39
82,Praia,3460954,0,BR,1533021270,89,-20.25,-43.81,49.11,4.18
83,East London,1006984,0,ZA,1533016800,66,-33.02,27.91,55.4,6.93
84,Jamestown,2069194,0,AU,1533020964,54,-33.21,138.6,56.31,12.57
85,Snezhnogorsk,795243,0,RU,1533018600,47,69.19,33.23,78.8,8.95
86,Qaanaaq,3831208,88,GL,1533020999,91,77.48,-69.36,38.71,2.39
87,Lorengau,2092164,20,PG,1533021003,90,-2.02,147.27,86.55,13.24
88,Sao Jose da Coroa Grande,3388456,92,BR,1533021031,100,-8.9,-35.15,70.89,4.97
89,Port Alfred,964432,0,ZA,1533020976,97,-33.59,26.89,59.59,13.8
90,Arraial do Cabo,3471451,88,BR,1533020962,100,-22.97,-42.02,70.62,8.43
91,Esperance,3573739,75,TT,1533016800,94,10.24,-61.45,77.0,4.18
92,Saldanha,2737599,0,PT,1533021015,88,41.42,-6.55,54.6,3.06
93,Yaita,1848776,40,JP,1533019740,52,36.8,139.92,93.2,4.7
94,Castro,3896218,56,CL,1533020762,100,-42.48,-73.76,31.83,2.84
95,Salalah,286621,90,OM,1533016200,100,17.01,54.1,77.0,5.82
96,Sexsmith,6144602,40,CA,1533016800,87,55.35,-118.78,59.0,5.82
97,Bethel,5880568,90,US,1533016380,72,60.79,-161.76,62.6,5.82
98,Mount Gambier,2156643,92,AU,1533020750,98,-37.83,140.78,50.59,11.45
99,Ancud,3899695,64,CL,1533020998,84,-41.87,-73.83,32.1,3.4
100,Kutum,371745,76,SD,1533021273,62,14.2,24.66,73.09,14.58
101,Tasiilaq,3424607,88,GL,1533016200,81,65.61,-37.64,46.4,3.4
102,Dikson,1507390,56,RU,1533020982,100,73.51,80.55,36.51,16.82
103,Cockburn Town,3576994,88,TC,1533021167,95,21.46,-71.14,83.22,20.18
104,Wasilla,5877641,75,US,1533020160,77,61.58,-149.44,62.6,1.95
105,Bol,2434979,92,TD,1533021274,83,13.47,14.72,77.23,11.45
106,Faanui,4034551,20,PF,1533021045,100,-16.48,-151.75,79.89,6.2
107,Puerto Ayora,3652764,68,EC,1533020984,100,-0.74,-90.35,70.89,12.01
108,Torbay,6167817,5,CA,1533016800,93,47.66,-52.73,57.2,11.41
109,Singleton,2149475,8,AU,1533020400,34,-32.57,151.17,64.4,9.17
110,Chuy,3443061,0,UY,1533020971,93,-33.69,-53.46,46.41,12.91
111,Taoudenni,2450173,32,ML,1533021276,12,22.68,-3.98,90.69,10.56
112,Thompson,6165406,75,CA,1533017700,93,55.74,-97.86,46.4,5.82
113,Kodiak,4407665,1,US,1533019980,100,39.95,-94.76,60.8,4.7
114,Slave Lake,6149374,1,CA,1533016800,93,55.28,-114.77,60.8,3.36
115,Port Blair,1259385,68,IN,1533021075,96,11.67,92.75,83.53,24.87
116,Sassandra,2281951,36,CI,1533020400,100,4.95,-6.09,75.2,4.7
117,Lufilufi,4035249,12,WS,1533021091,100,-13.87,-171.6,81.96,11.79
118,Iqaluit,5983720,75,CA,1533016800,86,63.75,-68.52,41.0,10.29
119,Awjilah,88533,0,LY,1533021081,52,29.14,21.3,82.14,7.65
120,Los Alamos,5476825,40,US,1533020100,67,35.88,-106.3,64.4,13.87
121,Aksarka,1512019,0,RU,1533021048,59,66.56,67.8,50.55,20.51
122,Nuristan,1346493,0,UZ,1533018600,19,38.49,65.64,91.4,11.41
123,Biak,1637001,88,ID,1533021053,100,-0.91,122.88,75.48,6.42
124,Huercal-Overa,2516542,0,ES,1533021279,100,37.39,-1.95,69.76,3.4
125,Kondoa,156510,88,TZ,1533021279,88,-4.91,35.78,63.6,4.07
126,San Pedro de Macoris,3493032,40,DO,1533020400,94,18.46,-69.3,77.0,4.7
127,Vostok,2013279,92,RU,1533021279,94,46.45,135.83,72.42,2.73
128,Clermont,2171365,0,AU,1533021280,18,-22.82,147.64,75.75,6.98
129,Platanos,255036,40,GR,1533019800,62,35.47,23.6,84.2,9.17
130,Mosquera,3674292,75,CO,1533020400,87,4.71,-74.23,53.6,3.36
131,Kaitangata,2208248,68,NZ,1533021020,85,-46.28,169.85,47.85,5.64
132,College,5859699,1,US,1533016680,41,64.86,-147.8,75.2,5.64
133,Pangnirtung,6096551,92,CA,1533021281,97,66.15,-65.72,40.06,8.66
134,Rawson,3839307,0,AR,1533021282,75,-43.3,-65.11,27.15,10.45
135,Kushima,1895695,75,JP,1533016800,89,31.5,131.29,84.2,14.99
136,Padilla,3673407,90,CO,1533020400,93,3.23,-76.31,66.2,3.36
137,Uyovu,149027,64,TZ,1533021283,89,-3.28,31.53,65.98,4.18
138,Ivanava,627811,0,BY,1533021283,89,52.14,25.53,76.24,9.1
139,Puri,1635111,0,ID,1533018600,55,-7.54,112.45,87.8,10.29
140,Bada,2322495,56,NG,1533021284,96,12.41,4.51,72.78,7.43
141,Ajaccio,6452235,0,FR,1533018600,69,41.93,8.74,82.4,3.36
142,Gueret,3014383,0,FR,1533018600,82,46.17,1.87,66.2,10.29
143,Oyon,3933867,0,PE,1533021285,70,-10.67,-76.77,33.58,2.17
144,Beloha,1067565,0,MG,1533021285,82,-25.17,45.06,65.71,6.2
145,Eenhana,3357804,0,NA,1533021285,53,-17.48,16.34,48.16,3.18
146,Road Town,3577430,90,VG,1533019980,69,18.42,-64.62,82.4,12.75
147,Prado,3452483,0,BR,1533021286,94,-17.34,-39.22,77.41,17.16
148,Saskylakh,2017155,100,RU,1533021006,99,71.97,114.09,46.95,15.26
149,Marsh Harbour,3571913,68,BS,1533021287,98,26.54,-77.06,84.03,11.9
150,Naze,2337542,12,NG,1533020964,94,5.43,7.07,67.02,3.85
151,Killorglin,2963311,88,IE,1533021287,87,52.1,-9.78,56.08,17.6
152,Umkomaas,946128,0,ZA,1533021288,83,-30.21,30.8,45.42,2.51
153,Butaritari,2110227,0,KI,1533020973,100,3.07,172.79,83.98,6.64
154,Tiksi,2015306,32,RU,1533021007,65,71.64,128.87,57.34,14.14
155,Mahebourg,934322,20,MU,1533016800,69,-20.41,57.7,77.0,6.93
156,Caravelas,3466980,0,BR,1533021104,96,-17.73,-39.27,77.01,16.71
157,Avera,4231997,1,US,1533018900,94,33.19,-82.53,75.2,3.36
158,Port Hardy,6111862,5,CA,1533016800,93,50.7,-127.42,53.6,4.7
159,Norman Wells,6089245,75,CA,1533016800,68,65.28,-126.83,66.2,5.82
160,Rio Gallegos,3838859,90,AR,1533016800,74,-51.62,-69.22,37.4,4.7
161,Crossville,4616470,20,US,1533019980,88,35.95,-85.03,71.6,4.7
162,Kommunar,545788,0,RU,1533018600,60,59.62,30.39,73.4,6.71
163,Okhotsk,2122605,24,RU,1533021057,92,59.36,143.24,65.08,5.08
164,Emet,315639,24,TR,1533021290,81,39.34,29.26,66.93,3.85
165,Aswan,359792,0,EG,1533016800,28,24.09,32.9,93.2,1.12
166,Sisimiut,3419842,0,GL,1533021048,97,66.94,-53.67,36.96,2.17
167,Ponta do Sol,3453439,92,BR,1533020970,65,-20.63,-46.0,63.19,6.87
168,Luderitz,3355672,92,NA,1533021057,98,-26.65,15.16,52.84,5.19
169,Tacoronte,2510725,75,ES,1533018600,100,28.48,-16.41,68.0,23.04
170,Lompoc,5367788,90,US,1533019140,93,34.64,-120.46,62.6,4.74
171,Alofi,4036284,32,NU,1533020400,88,-19.06,-169.92,66.2,4.7
172,Sioux Lookout,6148373,90,CA,1533016800,77,50.1,-91.92,68.0,5.82
173,Hasaki,2112802,20,JP,1533018600,70,35.73,140.83,89.6,11.41
174,Kindu,212902,20,CD,1533021293,84,-2.95,25.92,74.31,3.06
175,Tura,1254046,76,IN,1533021095,84,25.52,90.21,84.12,3.74
176,Vardo,4372777,90,US,1533019980,88,39.62,-77.74,69.8,2.73
177,Udachnyy,2014624,68,RU,1533021293,63,66.42,112.4,65.71,3.96
178,Tarragona,3108288,0,ES,1533018600,65,41.12,1.25,77.0,3.36
179,Ningxiang,1799352,40,CN,1533016800,39,28.28,112.55,98.6,6.71
180,Georgetown,3378644,40,GY,1533016800,94,6.8,-58.16,75.2,4.7
181,Norwich,2641181,20,GB,1533019200,88,52.63,1.29,62.6,5.82
182,Brodokalmak,1508802,40,RU,1533018600,55,55.57,62.07,64.4,11.18
183,Iberia,3938531,0,PE,1533021295,81,-11.41,-69.49,74.89,3.62
184,Bara,2347758,48,NG,1533021064,91,10.41,10.6,72.06,7.76
185,Arroyo,5208292,1,US,1533020040,100,41.39,-78.88,64.4,4.7
186,Krasnoarmeysk,542463,0,RU,1533018600,53,56.12,38.15,71.6,8.95
187,Troitsko-Pechorsk,481548,0,RU,1533021296,47,62.71,56.19,73.77,5.19
188,Cherskiy,2126199,68,RU,1533020994,70,68.75,161.3,57.3,2.51
189,Panaba,3521972,24,MX,1533021296,86,21.28,-88.27,76.56,5.3
190,Airai,1651810,44,TL,1533020960,42,-8.93,125.41,84.34,1.28
191,Alice,4670234,1,US,1533020100,88,27.75,-98.07,80.6,3.36
192,Ilhabela,3461425,32,BR,1533021052,100,-23.78,-45.36,66.39,15.03
193,Tuktoyaktuk,6170031,12,CA,1533020980,69,69.44,-133.03,56.44,16.49
194,Along,1278969,92,IN,1533021298,99,28.17,94.8,69.58,1.39
195,Tilichiki,2120591,92,RU,1533021298,100,60.47,166.1,50.14,9.22
196,Aldan,2027968,92,RU,1533021298,90,58.61,125.39,56.98,5.19
197,Maine-Soroa,2441447,68,NE,1533021123,71,13.21,12.02,79.89,12.46
198,Hilo,5855927,90,US,1533017940,83,19.71,-155.08,78.8,6.93
199,Daru,2409663,80,SL,1533021299,97,7.99,-10.85,70.39,4.74
200,Porkhov,506278,75,RU,1533018600,68,57.77,29.55,71.6,6.71
201,Batagay-Alyta,2027042,24,RU,1533021299,64,67.8,130.41,60.45,4.18
202,Mogocha,2019912,36,RU,1533021300,56,53.73,119.76,68.01,7.65
203,Madison,5261457,20,US,1533019440,100,43.07,-89.38,59.0,3.18
204,Hobyo,57000,0,SO,1533020992,70,5.35,48.53,78.45,17.38
205,Puro,1706889,68,PH,1533021300,97,13.13,123.76,81.33,8.43
206,Kluang,1732811,75,MY,1533020400,79,2.04,103.32,84.2,4.7
207,Myanaung,1308204,92,MM,1533021301,100,18.28,95.32,78.72,14.58
208,Batsfjord,780717,0,NO,1533016200,73,70.63,29.72,73.4,9.17
209,Atar,2381334,24,MR,1533021302,21,20.52,-13.05,88.44,11.23
210,Garowe,58933,0,SO,1533021302,45,8.41,48.48,85.11,21.3
211,Buraydah,107304,0,SA,1533016800,26,26.33,43.97,96.8,8.05
212,Sechura,3691954,36,PE,1533021303,92,-5.56,-80.82,64.14,9.22
213,Zhezkazgan,1516589,75,KZ,1533018600,19,47.8,67.71,87.8,11.18
214,Imeni Poliny Osipenko,2023584,80,RU,1533021303,75,52.42,136.49,71.83,1.95
215,Namibe,3347019,92,AO,1533021029,100,-15.19,12.15,63.19,2.51
216,Patrocinio,1712808,56,PH,1533021304,90,13.72,123.64,84.03,5.97
217,Borba,2270755,0,PT,1533016800,93,38.81,-7.46,64.4,4.7
218,Namatanai,2090021,36,PG,1533021305,97,-3.66,152.44,84.16,8.55
219,Port Elizabeth,4501427,90,US,1533020040,88,39.31,-74.98,71.6,5.82
220,Sola,643453,0,FI,1533018000,64,62.78,29.36,71.6,5.82
221,Ilulissat,3423146,0,GL,1533016200,86,69.22,-51.1,37.4,2.24
222,Kenora,5991056,40,CA,1533020100,64,49.76,-94.48,69.8,13.87
223,Visby,2662689,75,SE,1533019800,83,57.64,18.3,75.2,3.36
224,Uyuni,3901903,0,BO,1533021306,28,-20.46,-66.82,17.7,5.41
225,Conceicao do Araguaia,3401845,24,BR,1533021147,61,-8.26,-49.26,72.28,2.62
226,Bukama,217834,0,CD,1533021307,68,-9.2,25.85,68.64,3.51
227,Miri,2347470,24,NG,1533021307,90,10.31,9.75,69.76,9.78
228,Maceio,3395981,75,BR,1533016800,94,-9.67,-35.74,71.6,6.93
229,Jalingo,2351027,48,NG,1533021308,91,10.3,10.93,72.06,7.76
230,Itamaraca,3397963,75,BR,1533016800,78,-7.75,-34.83,77.0,8.05
231,Caconda,3351380,0,AO,1533021308,73,-13.73,15.06,42.9,3.96
232,Belaya Gora,2126785,0,RU,1533021023,65,68.54,146.19,56.58,8.77
233,Yuli,2347468,56,NG,1533021309,85,10.52,9.86,72.06,11.23
234,Sao Filipe,3374210,0,CV,1533021009,100,14.9,-24.5,74.98,12.57
235,Nelson Bay,2155562,0,AU,1533016800,29,-32.72,152.14,66.2,10.29
236,Leningradskiy,2123814,64,RU,1533021025,86,69.38,178.42,42.0,10.22
237,Laguna,4013704,56,MX,1533021310,62,27.52,-110.01,88.39,3.4
238,Svetlogorsk,584051,75,RU,1533018600,55,53.14,59.15,60.8,15.66
239,Gurh,1270640,92,IN,1533021310,99,24.52,81.52,76.51,12.01
240,Gibara,3558315,5,CU,1533019800,94,21.11,-76.13,77.0,5.82
241,Sosnovo,490213,0,RU,1533021311,59,60.56,30.25,73.68,3.18
242,Tarakan,1624725,64,ID,1533021311,93,3.3,117.63,82.99,1.39
243,Morehead,4301307,20,US,1533019680,88,38.18,-83.43,69.8,3.36
244,Paamiut,3421193,0,GL,1533021312,97,61.99,-49.67,39.84,0.38
245,Onega,515246,0,RU,1533021312,72,63.91,38.09,67.11,5.97
246,Meulaboh,1214488,92,ID,1533021312,100,4.14,96.13,81.78,3.51
247,Dunedin,2191562,0,NZ,1533020804,65,-45.87,170.5,49.24,10.45
248,Nyuzen,1854868,20,JP,1533016800,49,36.93,137.5,91.4,8.05
249,Camacha,2270385,40,PT,1533020400,73,33.08,-16.33,69.8,6.93
250,Chumikan,2025256,0,RU,1533021313,63,54.72,135.31,68.37,5.08
251,Pearl Lagoon,3618522,56,NI,1533021313,98,12.34,-83.67,81.42,14.58
252,Codrington,2160063,0,AU,1533021314,69,-28.95,153.24,63.6,2.39
253,Mauriti,3395058,92,BR,1533021314,69,-7.39,-38.77,74.58,7.31
254,Colombo,1248991,40,LK,1533017400,83,6.93,79.85,82.4,14.99
255,Ayagoz,1525988,0,KZ,1533021315,34,47.96,80.43,78.9,14.14
256,Batemans Bay,2176639,0,AU,1533021315,62,-35.71,150.18,60.63,7.54
257,Bilma,2446796,8,NE,1533020985,33,18.69,12.92,77.86,12.68
258,Champerico,3530097,64,MX,1533021315,94,16.38,-93.6,69.58,2.51
259,Machinga,927643,0,MW,1533016800,60,-15.18,35.3,69.8,3.29
260,Mezen,527321,20,RU,1533021316,54,65.85,44.24,71.74,4.07
261,Husavik,5961417,20,CA,1533020969,63,50.56,-96.99,70.03,9.44
262,Katsuura,1865309,40,JP,1533016800,55,33.93,134.5,89.6,9.17
263,Roald,3141667,0,NO,1533018000,77,62.58,6.12,68.0,5.82
264,Suarez,3667772,88,CO,1533021317,90,4.05,-74.83,68.46,2.62
265,Lavrentiya,4031637,68,RU,1533021039,92,65.58,-170.99,50.91,11.01
266,Lasko,3196760,0,SI,1533020400,73,46.15,15.24,78.8,5.82
267,Sitka,4267710,0,US,1533020910,88,37.17,-99.65,60.63,7.43
268,Tuatapere,2180815,92,NZ,1533021056,100,-46.13,167.69,48.12,10.78
269,Sivaki,2016477,76,RU,1533021318,96,52.63,126.75,63.28,6.76
270,Seltso,532615,0,RU,1533018600,53,55.57,38.01,71.6,6.71
271,Denpasar,1645528,75,ID,1533018600,70,-8.65,115.22,84.2,14.99
272,Saint George,262462,40,GR,1533019800,69,39.45,22.34,80.6,3.4
273,Ahuimanu,5856516,75,US,1533019500,78,21.44,-157.84,82.4,10.29
274,Proletariy,504840,0,RU,1533021319,80,58.43,31.7,69.76,4.97
275,Miraflores,3674735,68,CO,1533021320,100,5.2,-73.14,50.23,1.28
276,Mawlaik,1310120,88,MM,1533021320,94,23.63,94.42,78.76,2.95
277,Ouahigouya,2357043,12,BF,1533021320,96,13.58,-2.42,70.84,9.44
278,Puerto Baquerizo Moreno,3652758,80,EC,1533021321,98,-0.9,-89.6,70.71,10.22
279,Yinchuan,1786657,12,CN,1533021321,76,38.48,106.21,80.97,10.0
280,Aripuana,3665202,12,BR,1533021321,76,-9.17,-60.63,77.73,2.84
281,Ahipara,2194098,92,NZ,1533021322,90,-35.17,173.16,56.71,7.2
282,Nuuk,3421319,36,GL,1533016200,100,64.17,-51.74,39.2,6.93
283,Miranda,3674702,90,CO,1533020400,93,3.25,-76.23,66.2,3.36
284,Partizanskoye,693805,0,UA,1533021322,84,44.83,34.08,78.45,3.74
285,Atasu,1526041,0,KZ,1533021021,44,48.68,71.64,81.42,5.08
286,Alto Araguaia,3472473,0,BR,1533021324,66,-17.32,-53.22,61.98,2.39
287,Clyde River,5924351,90,CA,1533020040,100,70.47,-68.59,39.2,8.05
288,Trail,6168326,0,CA,1533021324,46,49.1,-117.71,67.33,1.61
289,East Liverpool,5152709,90,US,1533020160,93,40.62,-80.58,66.2,3.36
290,Carutapera,3402648,12,BR,1533021324,84,-1.2,-46.02,78.76,10.0
